Wind Speed;Production;Actual Production;Difference;SMP;Forecasting error;0.07
7.9;3510;3591;-81;54.4;;
8.1;3841;3812;29;62.04;;
9.6;6627;6963;-336;53.5;;
8.7;4936;4752;185;49.37;;
5.6;1336;1397;-60;46.91;;
7.2;2471;2591;-120;43.85;;
8.3;4206;3891;315;31.45;;
14.55;7000;8020;-1020;41.18;;
20.8;7000;7515;-515;36.2;;
19;7000;6547;453;25;;
18.2;7000;7131;-131;21.89;;
17.7;7000;6490;510;34.87;;
19;7000;6880;120;39.99;;
19.2;7000;7026;-26;56.56;;
20.1;7000;6926;74;66.71;;
21;7000;7645;-645;87.76;;
21.8;7000;6307;693;75.5;;
20.1;7000;6785;215;75.5;;
20.2;7000;7360;-360;72.07;;
20.5;7000;6737;263;57.3;;
19.1;7000;7207;-207;56.35;;
19.1;7000;6957;43;57.39;;
19.6;7000;6682;318;70;;
18.2;7000;7264;-264;70.83;;
17.5;7000;7074;-74;76;;
17.2;7000;6836;164;76;;
19.6;7000;6292;708;74.9;;
18.3;7000;6552;448;69;;
18;7000;6274;726;57.38;;
17.3;7000;6360;640;55.25;;
16.4;7000;7223;-223;49.4;;
16.5;7000;7067;-67;48.06;;
17.9;7000;7412;-412;52.89;;
17.3;7000;6843;157;52.13;;
17.5;7000;6492;508;53.58;;
17;7000;7924;-924;57.15;;
16.9;7000;6842;158;60.71;;
16.2;7000;7172;-172;63.02;;
15.2;7000;6006;994;65.94;;
12.5;7000;7181;-181;71.77;;
10.3;7000;7542;-542;69.01;;
11.2;7000;6213;787;61.78;;
11.5;7000;6936;64;59;;
10.3;7000;7191;-191;57.88;;
8.1;3841;4016;-176;55;;
5.2;1052;1052;0;57.01;;
5.5;1265;1356;-91;59.1;;
6.8;2064;1975;89;62.14;;
